,dimension,d_G,d_H,edge,ground_truth_aprx,classification,correct,inverse,negexp
1168,60,0.9742589712703893,0.8825340066983501,"(42, 72)",0,0,True,0.47530016386846136,0.4770848229490989
1169,60,0.9272651170781401,0.8791470035859955,"(72, 78)",0,0,True,0.4866813024166231,0.4879727921399143
1170,60,0.9356891463907894,0.7230859411748523,"(16, 79)",0,0,True,0.4359156021784888,0.44704849979683076
1171,60,0.9560053748331504,0.7742120360288013,"(79, 88)",0,0,True,0.44746517470489905,0.4546764208248166
1172,60,0.9288042904681468,0.7919015289406858,"(26, 88)",0,0,True,0.4602190101343135,0.46582766548714544
1173,60,0.8648593605240982,0.8382440610556594,"(62, 98)",0,0,True,0.4921862351014036,0.4933465678882052
1174,60,0.8307572455675423,0.8141204156558731,"(62, 61)",1,0,False,0.4949428366911813,0.49584088845297236
1175,60,0.8531247262769636,0.8461828667357586,"(61, 95)",0,0,True,0.4979574446763644,0.4982645420839181
1176,60,0.9056395360584443,0.9178065681028581,"(36, 3)",0,1,False,0.5033362741066619,0.5030417204873487
1177,60,0.8964479482991399,0.8906371760580968,"(11, 3)",0,0,True,0.4983742318253774,0.4985473110272495
1178,60,0.975712326560203,0.6622289969976034,"(30, 46)",0,0,True,0.4043056899981997,0.42226472614153254
1179,60,0.9659276323871008,0.8763620320137487,"(46, 35)",0,0,True,0.4756917703811575,0.4776235565534951
1180,60,0.9018186410599062,0.8164716852797349,"(84, 66)",0,0,True,0.4751651526893071,0.47867620321127186
1181,60,0.9048101953041465,0.8123459455531965,"(47, 84)",0,0,True,0.4730763418797826,0.47690039298976616
1182,60,0.8675473582274557,0.8475651612490317,"(13, 70)",0,0,True,0.4941746687895079,0.49500461697074444
1183,60,0.87925222229361,0.9377385949951746,"(21, 60)",0,1,False,0.5160942950688201,0.5146174266474961
1184,60,0.8739827225378316,0.8868751492082344,"(17, 39)",0,1,False,0.5036608368220028,0.5032230620243763
1185,60,0.9048141213756556,0.9194935153127295,"(75, 7)",0,1,False,0.5040232781033908,0.5036697825860338
1186,60,0.9583891890996674,0.9205155086080548,"(75, 63)",0,0,True,0.489921340731699,0.4905327115189586
1187,60,1.0903965306697587,0.7782583449983407,"(63, 97)",0,0,True,0.41648051501221717,0.42259291798334375
1188,60,0.9253595196368775,0.7355695606271729,"(45, 97)",0,0,True,0.44286632666473263,0.4526944215537643
1189,60,0.8791393971197295,0.7076388629591074,"(85, 28)",0,0,True,0.44595951479947127,0.4572296467863577
1190,60,0.8991756921122678,0.7636195237851525,"(15, 50)",0,0,True,0.4592384657379608,0.46616275667411344
1191,60,0.9298253182118268,0.7606021995327712,"(50, 82)",0,0,True,0.44994665050624694,0.45779488938715296
1192,60,0.9638135277909055,0.9188710041567998,"(82, 9)",0,0,True,0.4880642447336594,0.4887662598820016
1193,60,0.9375719842124107,0.883603656650252,"(81, 8)",0,0,True,0.4851831074523392,0.48651119188703273
1194,60,0.8364654202705869,1.041801122932182,"(91, 52)",0,1,False,0.5546609594374882,0.5511543179434035
1195,60,0.8839983652231701,1.019226191280375,"(4, 67)",0,1,False,0.5355259776349341,0.5337555327897717
1196,60,0.8332016945171388,0.8918384703266307,"(43, 64)",0,1,False,0.51699577117232,0.5146549952053063
1197,60,0.9538086759740273,0.7369222205294289,"(68, 27)",0,0,True,0.43586014903580045,0.44598993858439284
1198,60,0.8647145907123789,0.7175732538404573,"(68, 37)",0,0,True,0.4535036127028124,0.46328089103461606
1199,60,0.9155771592314441,0.8823968752300234,"(87, 37)",0,0,True,0.4907728689721154,0.4917056899411084
1200,60,0.9355039197987937,0.695475515213642,"(29, 38)",0,0,True,0.42641587029473443,0.44027935088118714
1201,60,0.952595240255998,0.7960488046626708,"(58, 29)",0,0,True,0.45523776378382136,0.4609431217563613
1202,60,0.8896679576469435,0.9174820664767369,"(92, 58)",0,1,False,0.5076955727135275,0.5069530789571217
1203,60,0.8138687004297891,0.7597926784047822,"(77, 23)",0,0,True,0.48281840593144165,0.4864842879052154
1204,60,0.8511629416302863,0.8969537372185059,"(89, 10)",0,1,False,0.5130971794223641,0.5114456990246987
1205,60,0.8557619896838897,0.8314583565534867,"(96, 99)",0,0,True,0.4927977299513362,0.4939243907694007
1206,60,0.935942881272081,0.8701821141567764,"(71, 96)",0,0,True,0.4817950675391406,0.4835657302648574
1207,60,0.9936291098648463,0.9235198048092483,"(74, 71)",0,0,True,0.48171521666392925,0.48247984956927786
1208,60,0.9745447683595005,0.9059048556162028,"(48, 20)",0,0,True,0.4817490689811256,0.48284675598866295
1209,60,0.9226061665149871,0.932047320595592,"(57, 48)",0,1,False,0.5025452609196863,0.5023602709882043
1210,60,0.8704880918128612,0.8880565464859677,"(57, 86)",0,1,False,0.504995168814737,0.5043920007027202
1211,60,0.9128722169174046,0.8440896882606845,"(1, 86)",0,0,True,0.4804257199732091,0.4828111440599055
1212,60,0.9399534090242,0.7853893653106298,"(1, 25)",0,0,True,0.4552077285705852,0.46143573368661533
1213,60,0.8933575136988456,0.7821993822119438,"(44, 25)",0,0,True,0.46682949658164874,0.4722390460734638
1214,60,0.8627466906618854,0.7352701031467277,"(53, 94)",0,0,True,0.4601141277084648,0.4681739399861812
1215,60,0.8375539534944588,0.8155358467258571,"(83, 59)",0,0,True,0.493340317396651,0.49449569567858315
1216,60,0.7103159739415406,0.8705083580238901,"(5, 6)",1,1,True,0.5506673577965439,0.5399626737030965
1217,60,0.8743042791402612,0.8738529043085516,"(56, 0)",0,0,True,0.49987089981496424,0.4998871562939885
1218,65,1.053259663561571,1.003541540627257,"(99, 0)",0,0,True,0.487913726705075,0.4875730290048882
1219,65,1.0119368911779796,1.0014316678971538,"(2, 3)",1,0,False,0.4973911325789126,0.4973737183327241
1220,65,0.9406561911367922,1.0087416645638105,"(4, 3)",1,1,True,0.5174632061967024,0.5170147960038891
1221,65,0.940228015467472,0.8756968401464862,"(6, 5)",1,0,False,0.4822318706852085,0.4838728022853167
1222,65,0.8465685377243374,1.0055854157555832,"(6, 7)",1,1,True,0.5429275540870879,0.5396706608073784
1223,65,0.8232373858942131,1.0039116100453078,"(7, 8)",1,1,True,0.549441568408654,0.5450460853810587
1224,65,0.8638837271601555,1.0098839174446965,"(9, 10)",1,1,True,0.5389589901140945,0.5364353490591705
1225,65,0.9112149094793704,1.0092417247783836,"(11, 10)",1,1,True,0.5255217466383717,0.5244870983969417
1226,65,0.9291060933578293,1.0130273131928569,"(12, 11)",1,1,True,0.5216054210158702,0.5209680003340296
1227,65,1.0118208378429885,0.9623330484897082,"(13, 14)",1,0,False,0.48746607605012704,0.4876305769942899
1228,65,0.972161730044669,0.9123501405638222,"(14, 15)",1,0,False,0.4841307474859433,0.4850515587762549
1229,65,0.9130186457731287,0.9211171529383584,"(17, 18)",1,1,True,0.5022077174358952,0.5020246157258129
1230,65,0.7916815339240709,0.9897634404568205,"(18, 19)",1,1,True,0.5555958531925997,0.549359192152042
1231,65,0.738319793953606,1.0278182689615512,"(20, 19)",1,1,True,0.5819580533047637,0.5718733468788251
1232,65,0.9992406539345853,0.9998062199111276,"(20, 21)",1,1,True,0.5001414589082281,0.5001413914903667
1233,65,1.0073433630059219,0.9647428506412554,"(24, 25)",1,0,False,0.4891991252537887,0.4893514822741987
1234,65,0.9560714909244449,0.9415906049301729,"(28, 27)",1,0,False,0.4961845457033934,0.4963798417622872
1235,65,0.8558131144165741,0.9679724503014168,"(29, 30)",1,1,True,0.5307490469424199,0.5280104764710941
1236,65,0.9311407713047949,0.9111609179402353,"(32, 31)",1,0,False,0.4945774751548029,0.4950052028157351
1237,65,0.970828860002651,0.9075177964224039,"(32, 33)",1,0,False,0.48314713012007504,0.4841775188440024
1238,65,0.8778771753185826,0.9312549099255671,"(34, 35)",1,1,True,0.5147523044454162,0.5133412661602589
1239,65,0.9395152391651992,0.9624959933831932,"(36, 35)",1,1,True,0.5060411720563825,0.5057449357244655
1240,65,0.9215077652800074,0.9253456840766686,"(36, 37)",1,1,True,0.5010390425937689,0.5009594785214361
1241,65,1.0351981639559127,0.979053315862516,"(39, 40)",1,0,False,0.486063098710381,0.4859674739451377
1242,65,1.0029151676040682,1.014706234687999,"(40, 41)",1,1,True,0.5029220217109454,0.5029477326193039
1243,65,0.9885955728817161,1.0517229071948704,"(42, 41)",1,1,True,0.5154699707250568,0.5157765947027484
1244,65,0.9763491624691893,1.0111654788281357,"(42, 43)",1,1,True,0.5087587572024678,0.5087031999567385
1245,65,0.9738818852800557,0.9637142498126448,"(44, 43)",1,0,False,0.49737622425972566,0.49745811303163756
1246,65,0.9153783722887484,0.9677140130869862,"(46, 45)",1,1,True,0.5138961957481961,0.5130809245937761
1247,65,0.8208267908372223,0.997918425239331,"(49, 48)",1,1,True,0.548685113460844,0.5441575651145956
1248,65,0.8870194838547945,1.0120238062616689,"(50, 49)",1,1,True,0.5329124467718711,0.5312104497651974
1249,65,1.0075538396402768,1.0100149130601455,"(51, 50)",1,1,True,0.500609910670101,0.5006152680444167
1250,65,0.9999020664580175,0.9988514438993074,"(51, 52)",1,0,False,0.49973718055946714,0.4997373443844826
1251,65,0.8940186257807222,0.9432257048072309,"(53, 52)",1,1,True,0.5133915446648192,0.5122992881303707
1252,65,0.944842099399086,0.9459840733150623,"(55, 56)",1,1,True,0.5003019774986341,0.5002854934479679
1253,65,0.9146664242775537,0.9633375094756764,"(58, 57)",1,1,True,0.5129581957533104,0.5121653698747656
1254,65,0.8116563013081217,1.0337485095619598,"(59, 58)",1,1,True,0.5601743874692525,0.5552959495373091
1255,65,0.9206418598457696,0.9665028662757755,"(60, 59)",1,1,True,0.5121508980724173,0.5114632425231369
1256,65,0.6883033067975505,0.7130301462398109,"(62, 61)",1,1,True,0.5088226108456433,0.5061813949131585
1257,65,0.9832688591169186,0.9278651780222615,"(66, 65)",1,0,False,0.48550502476069335,0.4861526216674472
1258,65,1.0353559370745908,0.8866780520559943,"(67, 68)",1,0,False,0.4613227742434853,0.4628988473453319
1259,65,0.7492583991692906,0.919937609200653,"(70, 69)",1,1,True,0.551126173671491,0.5425665174831658
1260,65,0.9849226594583137,1.0190107648258901,"(70, 71)",1,1,True,0.5085052988673395,0.508521201222317
1261,65,1.06630825873202,1.0276569796892756,"(71, 72)",1,0,False,0.49077079257727196,0.4903383830173745
1262,65,1.0167481031435772,1.0134305534365884,"(72, 73)",1,0,False,0.49918294143812514,0.4991706133339479
1263,65,0.9716035806687213,1.0306865781703527,"(73, 74)",1,1,True,0.5147538550396431,0.5147664540630853
1264,65,0.987242572470022,1.0692907343690408,"(74, 75)",1,1,True,0.5199481723991937,0.5205005411306756
1265,65,0.9382819005919657,0.9570209420770366,"(75, 76)",1,1,True,0.504943548087197,0.5046846232876269
1266,65,0.8935892190985287,0.8803094124451333,"(76, 77)",1,0,False,0.4962568868318481,0.4966800971261503
1267,65,0.9662857547435401,1.0326032907090392,"(81, 82)",1,1,True,0.5165885985808891,0.5165733102968275
1268,65,0.9383776037267745,0.9539855365096946,"(86, 85)",1,1,True,0.5041239264417742,0.5039019039849406
1269,65,0.9483478477948883,0.9256893632699273,"(87, 88)",1,0,False,0.49395463324015676,0.49433562121095886
1270,65,0.7299568396821857,0.8996604494535209,"(95, 94)",1,1,True,0.5520685472910453,0.5423243750800145
1271,65,1.0186387398493617,1.0083187370303026,"(96, 97)",1,0,False,0.49745431195849604,0.4974200221930261
1272,65,0.9900129291781737,1.042773953611225,"(98, 97)",1,1,True,0.5129775100576831,0.5131871971218889
1273,65,1.049526863089856,1.0669322753227948,"(99, 98)",1,1,True,0.5041119178530403,0.5043512432086177
1274,65,1.008967075424706,0.9403806541659587,"(93, 40)",0,0,True,0.48240785360722954,0.4828601131330516
1275,65,1.0208228443476701,0.9907795095110358,"(40, 14)",0,0,True,0.4925324866569667,0.4924897311809616
1276,65,0.9267428766630514,0.8535930681987759,"(80, 14)",0,0,True,0.4794561782916896,0.4817206980417747
1277,65,1.0535292889476442,1.016825458667816,"(42, 72)",0,0,True,0.4911358596100253,0.49082507242340023
1278,65,1.0557249831012139,0.9837941663866193,"(72, 78)",0,0,True,0.48236574127468773,0.4820250454178491
1279,65,1.0132204583463016,0.8640119494806036,"(78, 32)",0,0,True,0.46025838136940583,0.4627669243851397
1280,65,1.016798315737652,0.8436740019862905,"(16, 32)",0,0,True,0.45347302077486495,0.45682670034675055
1281,65,1.0166975449300055,0.8330617862251982,"(26, 88)",0,0,True,0.4503622564265904,0.45421963887091127
1282,65,0.9461693782691818,0.7662898260722354,"(33, 26)",0,0,True,0.4474791715502136,0.45515097714288427
1283,65,0.9434086849616202,1.0533663540803075,"(51, 24)",0,1,False,0.5275338150189032,0.5274617535602778
1284,65,1.0349596329497255,1.0741907905205614,"(98, 51)",0,1,False,0.5093002275073124,0.509806531668864
1285,65,0.6883033067975505,0.7130301462398109,"(62, 61)",1,1,True,0.5088226108456433,0.5061813949131585
1286,65,0.9345721462470378,1.0042122393727855,"(36, 3)",0,1,False,0.5179597312734402,0.5174029905145395
1287,65,0.9741968113404531,1.0676378438568999,"(11, 3)",0,1,False,0.5228816354641153,0.5233432759809415
1288,65,0.8934211677633274,0.927235293965766,"(46, 35)",0,1,False,0.5092862456243736,0.5084527261654624
1289,65,0.9915559149749469,1.0453022027078929,"(13, 60)",0,1,False,0.5131934294456623,0.5134333383894477
1290,65,0.9997034378765657,0.9307223072186062,"(21, 60)",0,0,True,0.4821331820627582,0.4827615524073572
1291,65,1.0522815669934908,0.8939954883265269,"(21, 39)",0,0,True,0.45933619054021635,0.46051089418534735
1292,65,0.9397302163792923,0.9856390288141108,"(17, 39)",0,1,False,0.5119220800242414,0.5114751877357993
1293,65,0.9676185868979471,0.9449899982967969,"(75, 63)",0,0,True,0.4940843649933616,0.4943430942339602
1294,65,0.9957383811771174,0.927967434639896,"(63, 97)",0,0,True,0.4823853143292498,0.48306374508166666
1295,65,1.0235628848307055,0.9913842670256369,"(45, 97)",0,0,True,0.49201502188893076,0.4919560396389959
1296,65,0.9515764217034804,0.959801430789403,"(15, 85)",0,1,False,0.5021515916058135,0.5020562406793042
1297,65,0.9384808197369585,1.0208794277663629,"(50, 82)",0,1,False,0.5210269163453733,0.5205880047512473
1298,65,0.9554265777151255,0.9852597738482484,"(81, 8)",0,1,False,0.5076862487617048,0.5074577459131545
1299,65,0.9509847448491617,0.8954698655025167,"(52, 22)",0,0,True,0.4849671692346471,0.48612484346950396
1300,65,1.0330476554183576,0.8846935353886913,"(65, 4)",0,0,True,0.4613206096993635,0.46297934389773077
1301,65,1.0517200007527268,0.8216886270862027,"(67, 64)",0,0,True,0.43860619347849467,0.4427444048201628
1302,65,1.0708808539899595,0.8733908154672542,"(43, 64)",0,0,True,0.4492123344630539,0.4507873371412169
1303,65,0.9953311845464866,0.9290167772546324,"(43, 27)",0,0,True,0.4827696423390636,0.483427471012257
1304,65,1.0031084243532842,0.9196647876758594,"(68, 27)",0,0,True,0.47830122758227817,0.47915118667384354
1305,65,0.9718726466613288,0.8425688706874308,"(87, 38)",0,0,True,0.46436816101881445,0.4677190202083641
1306,65,0.9933106649347387,0.8294090267528818,"(29, 38)",0,0,True,0.4550392638732883,0.45911607412258143
1307,65,0.9325673541650873,0.9619356352701551,"(92, 58)",0,1,False,0.5077509197052845,0.5073415426129636
1308,65,0.9776137791289524,0.9440002847931263,"(76, 92)",0,0,True,0.491253838383338,0.49159741755119857
1309,65,0.9608954740801776,0.9431529031059186,"(89, 55)",0,0,True,0.49534082978488175,0.49556447361403255
1310,65,0.9817191937058259,0.9739140809170945,"(99, 10)",0,0,True,0.4980044538794635,0.49804873170871095
1311,65,1.025481372479656,1.0000481401892405,"(96, 99)",0,0,True,0.4937218312220729,0.4936420346441572
1312,65,1.0702666042500655,1.0735081310726529,"(71, 96)",0,1,False,0.5007560325180573,0.5008103809960573
