,walk_length,d_G,d_H,edge,ground_truth,classification,correct,inverse,negexp
300,10,1.679478,1.400753,"(152, 357)",1,0,False,0.45475587,0.4307664
301,10,2.4645643,0.34909394,"(298, 157)",1,0,False,0.124071196,0.10760225
302,10,3.1811802,2.3196292,"(223, 299)",1,0,False,0.4216887,0.29701537
303,10,2.009925,2.319012,"(163, 164)",1,1,True,0.5357001,0.5766624
304,10,2.6827242,2.1090214,"(223, 163)",1,0,False,0.44013634,0.36038283
305,10,2.682686,2.6194932,"(338, 164)",1,0,False,0.49404082,0.48420706
306,10,2.5527966,1.9630845,"(223, 222)",1,0,False,0.43470684,0.3567009
307,10,1.4638708,1.5455897,"(165, 167)",1,1,True,0.513577,0.5204184
308,10,2.572956,0.65353835,"(232, 166)",1,0,False,0.20255369,0.1279265
309,10,2.8302336,1.567888,"(329, 166)",1,0,False,0.35649037,0.2205704
310,10,1.4140561,1.4326764,"(253, 167)",1,1,True,0.5032705,0.50465494
311,10,3.2627978,1.2091,"(230, 232)",1,0,False,0.27037737,0.11367926
312,10,2.3930776,1.9832026,"(186, 168)",1,0,False,0.45317087,0.39894208
313,10,2.284381,1.9086871,"(186, 294)",1,0,False,0.45520058,0.4071659
314,10,2.046138,2.0021107,"(365, 186)",1,0,False,0.49456218,0.488995
315,10,2.0242007,0.31931782,"(341, 368)",1,0,False,0.13625573,0.15382864
316,10,2.221958,1.946461,"(365, 359)",1,0,False,0.46695423,0.4315581
317,10,3.7081573,0.27309012,"(272, 306)",1,0,False,0.06859411,0.031217324
318,10,1.7893467,1.7331626,"(330, 198)",1,0,False,0.492025,0.48595768
319,10,1.5547282,1.4067544,"(203, 202)",1,0,False,0.47501695,0.4630739
320,10,1.8434948,1.4343833,"(204, 202)",1,0,False,0.43759507,0.39912522
321,10,2.1757104,0.38489076,"(280, 275)",1,0,False,0.15031266,0.14297226
322,10,1.7812256,1.3912249,"(211, 303)",1,0,False,0.43853322,0.40371716
323,10,2.2197735,1.5326216,"(303, 335)",1,0,False,0.4084382,0.33466697
324,10,1.7189878,1.5700055,"(237, 234)",1,0,False,0.4773514,0.46282318
325,10,2.2936544,1.3230878,"(238, 237)",1,0,False,0.3658231,0.27476758
326,10,1.6436733,1.5686226,"(240, 241)",1,0,False,0.48831823,0.4812461
327,10,1.2753632,1.2434118,"(241, 359)",1,0,False,0.49365735,0.4920129
328,10,1.8846337,0.3940416,"(242, 243)",1,0,False,0.17292573,0.18383288
