_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
71,celegans,1,3,0.44999999999999996,0.7958214624881291,0.5833183910106987,-0.8411567187351205,-7.270576247690293
72,celegans,1,3,0.44999999999999996,0.8032319391634981,0.5809025180752929,-0.8014936051682813,-7.086662129826549
73,celegans,1,3,0.44999999999999996,0.7763794772507261,0.5143349664307748,-0.8291031021006584,-6.992742390812793
74,celegans,1,3,0.44999999999999996,0.7837301587301587,0.6046046614312297,-0.7309407631674623,-7.252743634026546
75,celegans,1,3,0.5499999999999999,0.7726737338044759,0.5886808697722985,-0.9157271213977557,-6.776273250486914
76,celegans,1,3,0.5499999999999999,0.7735849056603774,0.6019510519225728,-0.9260067657522462,-7.7186057356781665
77,celegans,1,3,0.5499999999999999,0.7789855072463768,0.5890936519317981,-0.8694171547769526,-7.076825522539485
78,celegans,1,3,0.5499999999999999,0.7411347517730497,0.6063190383365822,-0.6694912310106251,-8.201435271131324
79,celegans,1,3,0.5499999999999999,0.7675489067894131,0.6288348631439676,-0.7864484572566587,-7.593169133023618
80,celegans,1,3,0.65,0.7909090909090909,0.5635567632850241,-0.8523774029705298,-7.293643454568432
81,celegans,1,3,0.65,0.7646176911544228,0.6238459220295334,-0.8822336774844883,-7.73311613934252
82,celegans,1,3,0.65,0.7688888888888888,0.6002289844676801,-0.7198984043741444,-7.749579150569676
83,celegans,1,3,0.65,0.7607361963190185,0.5830210987327439,-0.8443760418870963,-7.258319843556947
84,celegans,1,3,0.65,0.7802359882005899,0.5468243401989192,-0.7785231372026349,-7.471412331900714
85,celegans,1,3,0.75,0.7272727272727273,0.5759471427567302,-1.0820687886638432,-7.1841626375421015
86,celegans,1,3,0.75,0.7148846960167715,0.5798403862919993,-0.6748946767379131,-8.09401019771525
87,celegans,1,3,0.75,0.7112068965517241,0.538355376653249,-1.0708726947239557,-7.013160806916645
88,celegans,1,3,0.75,0.7404063205417607,0.5549205734211546,-1.0983796332193918,-7.063269748739536
89,celegans,1,3,0.75,0.6956521739130435,0.5825956345274999,-0.7221696495331933,-8.661775485602355
90,celegans,1,3,0.85,0.6689895470383276,0.4930058814178986,-1.3330900411602395,-7.39621532122219
