,walk_length,d_G,d_H,edge,ground_truth,classification,correct,inverse,negexp
301,5,3.5129085,4.3867016,"(131, 84)",0,1,False,0.5553061,0.7055343
302,5,2.4984813,3.5032272,"(84, 232)",0,1,False,0.583705,0.7319907
303,5,3.5963092,3.7214699,"(251, 113)",0,1,False,0.5085518,0.5312494
304,5,4.246741,4.0794706,"(205, 55)",0,0,True,0.48995522,0.45827967
305,5,3.538064,2.7803988,"(219, 205)",0,0,True,0.44004357,0.3191534
306,5,3.4682212,2.9448123,"(5, 21)",0,0,True,0.4591918,0.37205547
307,5,3.618718,3.3262165,"(5, 52)",0,0,True,0.47894138,0.4273916
308,5,3.5824912,2.3959,"(166, 5)",0,0,True,0.40076,0.23386918
309,5,3.4920535,3.6677048,"(19, 21)",0,1,False,0.5122666,0.5438003
310,5,4.876161,3.2774997,"(21, 75)",0,0,True,0.40196663,0.16816877
311,5,4.454369,3.919983,"(21, 182)",0,0,True,0.4680939,0.36949447
312,5,4.427437,3.5602615,"(168, 52)",0,0,True,0.44571805,0.2958424
313,5,3.5780404,3.4388797,"(233, 52)",0,0,True,0.49008396,0.46526587
314,5,4.113414,3.3320866,"(75, 166)",0,0,True,0.44753024,0.3140339
315,5,3.8706894,3.4605777,"(77, 166)",0,0,True,0.47202995,0.39888537
316,5,3.8339753,3.7663126,"(80, 166)",0,0,True,0.49554867,0.48309076
317,5,3.988566,4.4600954,"(166, 109)",0,1,False,0.5279056,0.6157457
318,5,4.455789,4.5345726,"(168, 166)",0,1,False,0.50438154,0.51968575
319,5,3.6154397,3.1480277,"(186, 166)",0,0,True,0.46544582,0.38522893
320,5,4.337433,4.345338,"(166, 190)",0,1,False,0.50045526,0.50197625
321,5,4.3626747,3.9670737,"(166, 191)",0,0,True,0.4762537,0.4023697
322,5,3.948107,4.0807376,"(233, 166)",0,1,False,0.50825965,0.5331092
323,5,3.489394,2.279642,"(6, 76)",0,0,True,0.39515126,0.229745
324,5,4.2988024,3.847178,"(169, 22)",0,0,True,0.47227934,0.3889746
325,5,3.7249937,3.9450555,"(22, 179)",0,1,False,0.5143455,0.5547945
326,5,4.139655,4.196511,"(22, 182)",0,1,False,0.50341016,0.5142101
327,5,3.7045777,4.0451236,"(40, 14)",0,1,False,0.5219715,0.5843231
328,5,2.9842982,2.7204325,"(40, 47)",0,0,True,0.47687307,0.43441364
329,5,3.552373,3.9618063,"(40, 167)",0,1,False,0.5272441,0.60095197
330,5,4.264799,3.545473,"(28, 167)",0,0,True,0.45395005,0.32754144
331,5,4.1497245,3.760189,"(53, 167)",0,0,True,0.47537675,0.40382916
332,5,3.931808,3.8934064,"(79, 167)",0,0,True,0.4975463,0.4904008
333,5,4.5901284,4.316979,"(109, 167)",0,0,True,0.48466676,0.43213403
334,5,4.619274,3.7397082,"(167, 185)",0,0,True,0.447388,0.29326776
335,5,4.26055,4.350661,"(187, 167)",0,1,False,0.50523216,0.52251244
336,5,4.2697277,3.671084,"(191, 167)",0,0,True,0.46230587,0.354654
337,5,3.7835577,4.0091844,"(167, 223)",0,1,False,0.5144767,0.5561686
338,5,3.2822268,3.4141986,"(234, 53)",0,1,False,0.5098539,0.53294516
339,5,2.6251554,2.9827504,"(23, 7)",0,1,False,0.5318831,0.5884581
340,5,3.6089983,3.963825,"(41, 14)",0,1,False,0.52342767,0.58778757
341,5,2.8728158,3.7413912,"(41, 19)",0,1,False,0.5656599,0.7044492
342,5,2.4689639,3.7304738,"(41, 20)",0,1,False,0.6017439,0.7792859
343,5,3.2120242,3.014098,"(41, 46)",0,0,True,0.48410514,0.45067933
344,5,3.1518438,2.976252,"(8, 12)",0,0,True,0.48567325,0.45621452
345,5,3.042863,3.4898386,"(68, 8)",0,1,False,0.5342106,0.6099199
346,5,4.1765895,4.1054916,"(12, 14)",0,0,True,0.49570772,0.48223302
347,5,3.9084117,3.7694716,"(12, 45)",0,0,True,0.49095193,0.46532077
348,5,3.0226948,2.7120354,"(51, 12)",0,0,True,0.4729142,0.42295378
349,5,3.1278625,2.8506725,"(78, 12)",0,0,True,0.4768179,0.43114278
