,theta,d_G,d_H,edge,ground_truth_aprx,classification,correct,inverse,negexp
1579,0.18,0.6482331871804186,0.49548902892403945,"(46, 58)",0,0,True,0.4332249753892913,0.461888030130947
1580,0.18,0.6837679767914758,0.5775982939201304,"(58, 17)",0,0,True,0.4579148081978404,0.47348248339460114
1581,0.18,0.6520026563422943,0.6465184763354993,"(76, 17)",0,0,True,0.4978882977454955,0.4986289584346131
1582,0.18,0.6615386351495338,0.5416547817231121,"(45, 76)",0,0,True,0.45018097184323647,0.47006488069793123
1583,0.18,0.632666853277913,0.5842999960727956,"(45, 89)",0,0,True,0.48012811226907176,0.48791064237963017
1584,0.18,0.6776041478714955,0.472206383967175,"(84, 88)",0,0,True,0.41068190879419614,0.44883032919430166
1585,0.18,0.5774168907824516,0.578174258087226,"(98, 88)",0,1,False,0.5003276969131839,0.5001893418171429
1586,0.18,0.6405970868952778,0.5728116168418548,"(86, 98)",0,0,True,0.47206816225866305,0.4830601183693864
1587,0.18,0.5947776768109054,0.6907529154226915,"(86, 62)",0,1,False,0.5373290372051862,0.5239754088610646
1588,0.18,0.6791467036301798,0.6753553979400444,"(62, 5)",0,0,True,0.4986004799528401,0.4990521747128025
1589,0.18,0.6421814706712848,0.6788271888177961,"(75, 5)",0,1,False,0.5138703550061074,0.5091604044273698
1590,0.19999999999999998,0.6077842487877437,0.5951564305429611,"(0, 1)",1,0,False,0.4947512714210444,0.4968430873892718
1591,0.19999999999999998,0.6806848096505624,0.7070813110937528,"(0, 99)",0,1,False,0.5095104286841333,0.5065987422118714
1592,0.19999999999999998,0.6127004533515188,0.4882930013982564,"(2, 3)",1,0,False,0.443502183679404,0.4689381892058901
1593,0.19999999999999998,0.5970667441915565,0.5694133063806013,"(5, 4)",1,0,False,0.48814663062716285,0.49308708107467686
1594,0.19999999999999998,0.5831640686849935,0.6036987481073999,"(5, 6)",1,1,True,0.5086508226274639,0.5051334894690187
1595,0.19999999999999998,0.6778377199388633,0.6982190993204552,"(6, 7)",1,1,True,0.5074057186797571,0.505095168468605
1596,0.19999999999999998,0.6303905407040922,0.6095644207309975,"(7, 8)",1,0,False,0.4916020659536734,0.4947936581830693
1597,0.19999999999999998,0.5899538968202909,0.760058604180325,"(9, 8)",1,1,True,0.5630011600759083,0.5424239292785432
1598,0.19999999999999998,0.6774528314809036,0.6116734572520485,"(10, 9)",1,0,False,0.474486838565092,0.48356108351339727
1599,0.19999999999999998,0.5436888269680439,0.6256127390313991,"(11, 10)",1,1,True,0.5350311307388578,0.5204695308115607
1600,0.19999999999999998,0.5822796603004917,0.6716659414235223,"(12, 11)",1,1,True,0.5356420091111352,0.5223317032406081
1601,0.19999999999999998,0.6142302021899615,0.6853050574868113,"(12, 13)",1,1,True,0.5273462588904775,0.5177612375128124
1602,0.19999999999999998,0.6806625234394511,0.6092788848442267,"(13, 14)",1,0,False,0.4723306662857643,0.4821616644953011
1603,0.19999999999999998,0.5923209527437493,0.6601269901402924,"(14, 15)",1,1,True,0.5270694034757263,0.5169450175626077
1604,0.19999999999999998,0.6325715123953406,0.675896962256372,"(16, 15)",1,1,True,0.5165557866698178,0.5108296684922272
1605,0.19999999999999998,0.43948932074189695,0.5629649860595057,"(18, 17)",1,1,True,0.5615866800510791,0.5308297564570161
1606,0.19999999999999998,0.712080354481997,0.6829366408521159,"(18, 19)",1,0,False,0.48955435176511913,0.49271458724434336
1607,0.19999999999999998,0.6102879164711563,0.733616388458735,"(19, 20)",1,1,True,0.5458843950179966,0.5307930978616366
1608,0.19999999999999998,0.64010435649558,0.6170716709547357,"(20, 21)",1,0,False,0.4908395144999873,0.49424208316265394
1609,0.19999999999999998,0.7045354181602768,0.5648442490456371,"(22, 23)",1,0,False,0.44497660049096266,0.46513388630621955
1610,0.19999999999999998,0.6326977037636573,0.6624217781251852,"(24, 23)",1,1,True,0.5114754178194344,0.5074304715172188
1611,0.19999999999999998,0.5456077958107695,0.5765001772348249,"(24, 25)",1,1,True,0.5137653337139242,0.5077224812102178
1612,0.19999999999999998,0.5870134091037752,0.5642689480346031,"(25, 26)",1,0,False,0.49012211864094507,0.4943141298439592
1613,0.19999999999999998,0.6949291833696231,0.6864397602845497,"(27, 26)",1,0,False,0.49692717028130945,0.49787765697520864
1614,0.19999999999999998,0.5940059463892015,0.5751185864142359,"(28, 27)",1,0,False,0.4919224345033306,0.4952783003706811
1615,0.19999999999999998,0.6342528198778967,0.615743374478445,"(30, 29)",1,0,False,0.49259619929923754,0.4953727707566114
1616,0.19999999999999998,0.5053407443364721,0.6139870937253982,"(30, 31)",1,1,True,0.5485319607421936,0.527134900833367
1617,0.19999999999999998,0.6070113212009631,0.6599416079321602,"(31, 32)",1,1,True,0.5208888134334292,0.5132294831668573
1618,0.19999999999999998,0.724354964491784,0.605899309811157,"(32, 33)",1,0,False,0.45547631119520426,0.4704206657097557
1619,0.19999999999999998,0.5808628731729256,0.6612533832873515,"(33, 34)",1,1,True,0.5323603002924697,0.5200868108845101
1620,0.19999999999999998,0.6366108939180565,0.613852820569973,"(35, 34)",1,0,False,0.49090014644791147,0.4943107272145678
1621,0.19999999999999998,0.7027172022138878,0.6966056397290928,"(36, 35)",1,0,False,0.4978162428634735,0.4984721141344953
1622,0.19999999999999998,0.6187097945357136,0.7356093618513836,"(36, 37)",1,1,True,0.5431580572291105,0.5291916561616097
1623,0.19999999999999998,0.6536225124578672,0.6958413876131012,"(37, 38)",1,1,True,0.5156428323695854,0.5105531513112419
