,N,tau1,tau2,avg_k,min_community,mu,prob,pfi,distance,rep,largest_component,dimensions,walk_length,num_walks,workers,window,min_count,batch_words,_time_embedd,AUROC,Accuracy,_time_all,kmax
107,500,2.5,1.0,12,100,0.75,1.0,0.2,logistic,3,True,128,30,100,24,10,1,4,203.47931605717167,0.5076200602516392,0.5047318611987381,203.5126705369912,22.360679774997898
108,500,2.9,1.0,5,10,0.3,1.0,0.8,inverse,4,True,128,30,100,24,10,1,4,125.51894363784231,0.8167293233082707,0.5642633228840125,125.53024832997471,22.360679774997898
109,500,2.1,1.0,5,10,0.1,1.0,0.3,inverse,5,True,128,30,100,24,10,1,4,90.94675693288445,0.792965148441822,0.5301418439716312,90.96641806093976,22.360679774997898
110,500,2.5,1.0,12,100,0.75,1.0,0.3,logistic,5,True,128,30,100,24,10,1,4,195.66593586094677,0.5006134216660532,0.46714031971580816,195.78309377492405,22.360679774997898
111,500,2.1,1.0,5,10,0.3,1.0,0.5,negexp,1,True,128,30,100,24,10,1,4,180.8664114230778,0.8478876173205578,0.7508813160987075,180.89468312519602,22.360679774997898
112,500,2.9,1.0,5,10,0.1,1.0,0.95,negexp,1,True,128,30,100,24,10,1,4,177.38910850090906,0.7495274102079396,0.6956521739130435,177.39429211383685,22.360679774997898
113,500,2.9,1.0,5,10,0.1,1.0,0.95,inverse,2,True,128,30,100,24,10,1,4,187.08600735105574,0.8336713995943205,0.5670103092783505,187.09152272017673,22.360679774997898
114,500,2.9,1.0,5,10,0.1,1.0,0.95,logistic,1,True,128,30,100,24,10,1,4,185.34017037181184,0.5,0.47435897435897434,185.3452131790109,22.360679774997898
115,500,2.1,1.0,5,10,0.3,1.0,0.4,logistic,5,True,128,30,100,24,10,1,4,204.8844613849651,0.5143211027299761,0.48105263157894734,204.91035569482483,22.360679774997898
116,500,2.9,1.0,5,10,0.1,1.0,0.8,inverse,3,True,128,30,100,24,10,1,4,193.41324395197444,0.8080482897384306,0.5314465408805031,193.43851404404268,22.360679774997898
117,500,2.1,1.0,5,10,0.3,1.0,0.8,inverse,5,True,128,30,100,24,10,1,4,89.34417439508252,0.8008312793001787,0.564935064935065,89.35101588699035,22.360679774997898
118,500,2.9,1.0,5,10,0.1,1.0,0.9,negexp,1,True,128,30,100,24,10,1,4,192.4172861489933,0.8044427324088341,0.717391304347826,192.42797676986083,22.360679774997898
119,500,2.1,1.0,5,10,0.3,1.0,0.8,inverse,3,True,128,30,100,24,10,1,4,202.38503244705498,0.8488733488733489,0.5765472312703583,202.39674467919394,22.360679774997898
120,500,2.9,1.0,5,10,0.1,1.0,0.7,logistic,3,True,128,30,100,24,10,1,4,204.0384855850134,0.5,0.46311475409836067,204.08545031701215,22.360679774997898
121,500,2.1,1.0,5,10,0.3,1.0,0.8,inverse,4,True,128,30,100,24,10,1,4,162.4614480379969,0.8271679197994988,0.580327868852459,162.47553152800538,22.360679774997898
122,500,2.1,1.0,5,10,0.3,1.0,0.7,logistic,5,True,128,30,100,24,10,1,4,200.51988238515332,0.5,0.4841897233201581,200.6133120241575,22.360679774997898
123,500,2.5,1.0,12,100,0.75,1.0,0.5,inverse,5,True,128,30,100,24,10,1,4,202.27967711398378,0.8404511995637949,0.5279805352798054,202.3764459178783,22.360679774997898
124,500,2.9,1.0,5,10,0.1,1.0,0.8,inverse,2,True,128,30,100,24,10,1,4,192.61553213815205,0.8335543766578248,0.5934718100890207,192.62752389814705,22.360679774997898
125,500,2.9,1.0,5,10,0.1,1.0,0.7,negexp,3,True,128,30,100,24,10,1,4,198.19775824295357,0.8551196865150353,0.7680525164113785,198.24044182896614,22.360679774997898
126,500,2.1,1.0,5,10,0.3,1.0,0.5,negexp,5,True,128,30,100,24,10,1,4,185.1014955828432,0.8525201459882918,0.7621359223300971,185.12884038500488,22.360679774997898
127,500,2.5,1.0,12,100,0.75,1.0,0.5,logistic,1,True,128,30,100,24,10,1,4,191.98384846397676,0.5060118497907098,0.5005847953216375,192.00852986588143,22.360679774997898
128,500,2.1,1.0,5,10,0.3,1.0,0.7,negexp,3,True,128,30,100,24,10,1,4,189.54994053090923,0.8746440212729456,0.7524557956777996,189.59208539803512,22.360679774997898
129,500,2.1,1.0,5,10,0.75,1.0,0.1,negexp,1,True,128,30,100,24,10,1,4,90.56371944583952,0.6998700206097458,0.5991590749824808,90.5903029658366,22.360679774997898
130,500,2.1,1.0,5,10,0.3,1.0,0.5,logistic,5,True,128,30,100,24,10,1,4,192.24831626797095,0.5016651172267999,0.49575757575757573,192.30964962695725,22.360679774997898
131,500,2.1,1.0,5,10,0.3,1.0,0.6,inverse,5,True,128,30,100,24,10,1,4,200.07199904415756,0.8559025262039318,0.5220228384991843,200.09200167818926,22.360679774997898
132,500,2.1,1.0,5,10,0.3,1.0,0.7,inverse,5,True,128,30,100,24,10,1,4,195.09313330915757,0.8277305945091843,0.5690021231422505,195.13917894801125,22.360679774997898
133,500,2.5,1.0,12,100,0.75,1.0,0.3,negexp,3,True,128,30,100,24,10,1,4,199.55716541595757,0.7980109560453892,0.7020725388601037,199.594185577007,22.360679774997898
134,500,2.1,1.0,5,10,0.3,1.0,0.5,logistic,3,True,128,30,100,24,10,1,4,194.68612053105608,0.5072512190119552,0.4839901477832512,194.70904728700407,22.360679774997898
135,500,2.9,1.0,5,10,0.1,1.0,0.95,inverse,3,True,128,30,100,24,10,1,4,191.84422181197442,0.8152173913043478,0.6442307692307693,191.8502482920885,22.360679774997898
136,500,2.9,1.0,5,10,0.1,1.0,0.7,inverse,4,True,128,30,100,24,10,1,4,208.48252717405558,0.8510851760851761,0.5481171548117155,208.49868336785585,22.360679774997898
137,500,2.5,1.0,12,100,0.75,1.0,0.2,inverse,5,True,128,30,100,24,10,1,4,209.99878973397426,0.7790403784594189,0.5003802281368821,210.0483185451012,22.360679774997898
138,500,2.5,1.0,12,100,0.75,1.0,0.3,inverse,5,True,128,30,100,24,10,1,4,197.01165285892785,0.8139017428459182,0.5308641975308642,197.28269235696644,22.360679774997898
