accuracy,auroc,pr,method,theta,mu
0.6604107431992566,0.7235273336816466,0.7180034960480816,ISOMAP,0.1,0.2
0.6671615011016885,0.727337770315484,0.7155333518351712,ISOMAP,0.15,0.5
,,,N2V,0.25,0.4
0.9324387320191796,0.9825516176382928,0.9826761542469891,LE,0.85,0.1
0.6752741828606975,0.7397999374364841,0.7312852526739564,ISOMAP,0.25,0.5
0.6943096907690539,0.7650110420173707,0.7605798647538535,ISOMAP,0.35,0.5
,,,N2V,0.15,0.4
,,,N2V,0.25,0.4
,,,N2V,0.35,0.2
0.6473734894154712,0.7056780719958813,0.6981979407824632,ISOMAP,0.1,0.3
0.6308359100399059,0.6797643253966764,0.6630936740029716,ISOMAP,0.05,0.3
0.6815433035087837,0.7475600434408805,0.7400533088805497,ISOMAP,0.25,0.5
0.6607545280026709,0.7191929400464391,0.7070088333202058,ISOMAP,0.15,0.5
0.6730281751697211,0.7368833141092945,0.7277231661470116,ISOMAP,0.15,0.4
,,,N2V,0.2,0.5
,,,N2V,0.05,0.4
,,,N2V,0.2,0.2
,,,N2V,0.15,0.4
,,,N2V,0.05,0.4
,,,N2V,0.1,0.2
0.8502819269957463,0.9255886447817037,0.9253487077172514,N2V,0.8,0.1
,,,N2V,0.1,0.3
,,,N2V,0.35,0.3
,,,N2V,0.1,0.2
,,,N2V,0.05,0.5
,,,N2V,0.2,0.5
,,,N2V,0.35,0.4
0.6228595440697552,0.6676110692172947,0.6506052027790665,ISOMAP,0.05,0.4
0.6642771944462398,0.7255726261232847,0.716992879493897,ISOMAP,0.15,0.4
0.6763041963410458,0.7447087268980808,0.7400833408616232,ISOMAP,0.15,0.3
,,,N2V,0.1,0.5
,,,N2V,0.1,0.4
0.7725421504790672,0.8587669417228548,0.8594486238792659,N2V,0.2,0.1
0.6203885811222731,0.6645419128437979,0.6457882739277392,ISOMAP,0.05,0.5
0.6234493466166386,0.6712897952000504,0.6582067716766151,ISOMAP,0.05,0.2
0.6564868429877708,0.7165623385856086,0.7081312613935237,ISOMAP,0.1,0.3
