,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty,coef_emb,coef_deg
133,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.6,0.05043511764049838,[-4392.223297024285],0.6266114180478821,0.6721957150863994,0.6537567384580576,-1.0,-4392.223297024285,
134,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.625,-0.02458320362945876,[-3948.4774938534],0.6342569269521411,0.6877396389524537,0.6883856318570029,-1.0,-3948.4774938534,
135,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.65,-0.04778044232017083,[-3619.1254192508145],0.6412213740458015,0.6937978552556597,0.6717746785077907,-1.0,-3619.1254192508145,
136,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.675,-0.14329658823972027,[-3555.8804014904617],0.6174458380843786,0.6600311179568304,0.6517576753783393,-1.0,-3555.8804014904617,
137,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.7,-0.0792960788807013,[-3524.430374930648],0.6213592233009708,0.6732118432875791,0.6841257670759655,-1.0,-3524.430374930648,
138,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.725,0.06397432534932085,[-3472.094289700837],0.6167008898015058,0.6667247654495908,0.6504783748537092,-1.0,-3472.094289700837,
139,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.75,-0.06487637132182669,[-3118.2782457867597],0.6456456456456456,0.7039136271844222,0.713272300200559,-1.0,-3118.2782457867597,
140,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.775,-0.14889288165105383,[-3398.720701726478],0.6208609271523179,0.6561269266633755,0.6190883393341956,-1.0,-3398.720701726478,
141,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.7999999999999999,0.32591167066803367,[-2914.7168202056682],0.6137521222410866,0.6643730975002305,0.6639597659844234,-1.0,-2914.7168202056682,
142,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.825,0.27952887044952585,[-2456.9085537428973],0.6211640211640211,0.6635222661184121,0.6610988698710811,-1.0,-2456.9085537428973,
143,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.85,0.35372379540302257,[-2803.2885262116847],0.5980511571254568,0.6306592817580847,0.5825778342885585,-1.0,-2803.2885262116847,
144,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.875,0.15524379934006474,[-2628.4732347914255],0.5929203539823009,0.6404207310113522,0.669243791747588,-1.0,-2628.4732347914255,
145,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.9,0.21762203263431154,[-2168.2726042940635],0.5866425992779783,0.6224587060129267,0.6069216178482311,-1.0,-2168.2726042940635,
146,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.9249999999999999,0.13184642061390484,[-2525.954966573547],0.5769230769230769,0.5935872395833334,0.5428901468818229,-1.0,-2525.954966573547,
147,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.95,0.14880601977639105,[-2061.304399410383],0.61003861003861,0.6707861104412828,0.6077915134330126,-1.0,-2061.304399410383,
148,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.05,-0.03724549774334854,[174.12135387994934],0.49672320740169623,0.490451210473886,0.485763754875838,-1.0,,174.12135387994934
149,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.075,0.3941996137583224,[46.28620624549165],0.4918747522790329,0.4900367275052867,0.4919809617069671,-1.0,,46.28620624549165
150,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.1,0.28037384022196565,[33.26417360853191],0.48746403616933826,0.4755329198724749,0.48020719172516835,-1.0,,33.26417360853191
151,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.125,0.11596214065173857,[28.79633396630973],0.4972620050547599,0.4898355955104825,0.491825402766568,-1.0,,28.79633396630973
152,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.15,-0.04436064321454542,[24.042636769754235],0.48381564844587355,0.4757020956994157,0.47303926300304544,-1.0,,24.042636769754235
153,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.175,0.08872995473780387,[19.976383897532443],0.4956772334293948,0.47796479557133476,0.4690573201543281,-1.0,,19.976383897532443
