,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time,size_G,size_H,avg_G,avg_H,avg_R_G,avg_R_H
2316,1000,50.0,10.0,0.6000000000000001,-2.355320432429932,7.6134119905946935,0.8545809659090909,0.6522578040442305,0.8966439000042631,0.21847886399973504,0.21847963333129883,24477.0,4195.0,48.954,8.39,52.25,27.622
2317,1000,50.0,10.0,0.7000000000000001,-2.9272308190505814,7.315598942206833,0.8566576882538939,0.6639395867290256,0.8991618443641382,0.17464145099984307,0.17464256286621094,24477.0,4195.0,48.954,8.39,51.436,22.986
2318,1000,50.0,10.0,0.8,-3.579434452278669,7.188934435724615,0.8548835592631213,0.6841138182508435,0.90582005649387,0.17489437799986263,0.1748955249786377,24477.0,4195.0,48.954,8.39,50.612,18.24
2319,1000,50.0,10.0,0.9,-4.7042023580544035,7.712032255951733,0.8540653231410702,0.6332516435212198,0.8842368422494391,0.17492453200020464,0.1749253273010254,24477.0,4195.0,48.954,8.39,49.79,13.31
2320,1000,50.0,10.0,,,,,,,,,,,,,,
2321,1000,50.0,10.0,0.1,0.7099144729137002,11.89468817272345,0.8415485032635607,0.6213298117660289,0.8873169090694554,0.1682631029998447,0.16826462745666504,24927.0,4704.0,49.854,9.408,58.302,54.276
2322,1000,50.0,10.0,0.2,-0.4158533616160713,14.193010919488096,0.8443445755806628,0.6516684070910748,0.896631029697729,0.17076823999968838,0.17076921463012695,24927.0,4704.0,49.854,9.408,57.346,49.534
2323,1000,50.0,10.0,0.30000000000000004,-1.0972791821464676,12.18391320029792,0.8441028104732164,0.6678273100476849,0.8975360654914031,0.16042981199962014,0.1604304313659668,24927.0,4704.0,49.854,9.408,56.472,44.42
2324,1000,50.0,10.0,0.4,-1.5653009335524009,10.531009475754145,0.8435091221649199,0.6767753409918269,0.9009996510962893,0.16891919799991229,0.16892027854919434,24927.0,4704.0,49.854,9.408,55.556,39.772
2325,1000,50.0,10.0,0.5,-1.9155031083993395,8.772725685694502,0.8421548187504203,0.6934936245471676,0.9024925664746796,0.188664972999959,0.18866586685180664,24927.0,4704.0,49.854,9.408,54.63,34.37
2326,1000,50.0,10.0,0.6000000000000001,-2.2962949963408215,7.754045728301135,0.8391241863217517,0.6963141906085384,0.8986776980378521,0.19077132300026278,0.19077277183532715,24927.0,4704.0,49.854,9.408,53.734,29.186
2327,1000,50.0,10.0,0.7000000000000001,-2.7106565254524266,7.21004246731009,0.8499666592576128,0.6980205859748005,0.9088303838586764,0.2244430480000119,0.22444391250610352,24927.0,4704.0,49.854,9.408,52.592,24.666
2328,1000,50.0,10.0,0.8,-3.3755166941161145,6.997698687125655,0.8381621806960398,0.704775473646049,0.8977047155168645,0.19212493799977892,0.19212579727172852,24927.0,4704.0,49.854,9.408,51.828,19.1
2329,1000,50.0,10.0,0.9,-4.223739463678263,7.236634613065521,0.8560709413369714,0.7016733673309288,0.9027329869486669,0.1869087119998767,0.18690967559814453,24927.0,4704.0,49.854,9.408,50.74,14.386
2330,1000,50.0,10.0,,,,,,,,,,,,,,
2331,1000,50.0,10.0,0.1,0.8638477618973339,10.450810586955344,0.844977750732134,0.5971132141470321,0.8813151150597407,0.16065707600000678,0.1606581211090088,24611.0,4524.0,49.222,9.048,57.374,53.482
2332,1000,50.0,10.0,0.2,-0.4120534311929829,13.841637978917186,0.8447047717130106,0.6280467172279438,0.8908524169112417,0.16365947899976163,0.16366052627563477,24611.0,4524.0,49.222,9.048,56.484,48.394
2333,1000,50.0,10.0,0.30000000000000004,-1.2144638557662093,12.597895598384532,0.8435050940438872,0.641196805355633,0.8926894864339416,0.20003224099991712,0.20003318786621094,24611.0,4524.0,49.222,9.048,55.54,43.562
2334,1000,50.0,10.0,0.4,-1.626543518657113,10.48156342430026,0.8460485021398003,0.6618786610028008,0.8956341283992925,0.16620792399999118,0.16620874404907227,24611.0,4524.0,49.222,9.048,54.64,38.68
