system,layers,theta,auroc
arxiv,2-7,0.75,0.80
arxiv,2-7,0.80,0.81
arxiv,2-7,0.85,0.83
arxiv,2-7,0.90,0.84
arxiv,2-7,0.95,0.84
arxiv,2-7,0.00,0.50
arxiv,2-7,0.05,0.60
arxiv,2-7,0.10,0.59
arxiv,2-7,0.15,0.60
arxiv,2-7,0.20,0.66
arxiv,2-7,0.25,0.68
arxiv,2-7,0.30,0.69
arxiv,2-7,0.35,0.72
arxiv,2-7,0.40,0.69
arxiv,2-7,0.45,0.72
arxiv,2-7,0.50,0.72
arxiv,2-7,0.55,0.76
arxiv,2-7,0.60,0.80
arxiv,2-7,0.65,0.76
arxiv,2-7,0.70,0.80
arxiv,2-7,0.75,0.79
arxiv,2-7,0.80,0.80
arxiv,2-7,0.85,0.81
arxiv,2-7,0.90,0.84
arxiv,2-7,0.95,0.84
arxiv,2-7,0.00,0.50
arxiv,2-7,0.05,0.55
arxiv,2-7,0.10,0.59
arxiv,2-7,0.15,0.65
arxiv,2-7,0.20,0.65
arxiv,2-7,0.25,0.69
arxiv,2-7,0.30,0.68
arxiv,2-7,0.35,0.70
arxiv,2-7,0.40,0.73
arxiv,2-7,0.45,0.73
arxiv,2-7,0.50,0.74
arxiv,2-7,0.55,0.75
arxiv,2-7,0.60,0.75
arxiv,2-7,0.65,0.79
arxiv,2-7,0.70,0.78
arxiv,2-7,0.75,0.83
arxiv,2-7,0.80,0.79
arxiv,2-7,0.85,0.84
arxiv,2-7,0.90,0.83
arxiv,2-7,0.95,0.78
arxiv,2-7,0.00,0.50
arxiv,2-7,0.05,0.56
arxiv,2-7,0.10,0.58
arxiv,2-7,0.15,0.62
arxiv,2-7,0.20,0.65
arxiv,2-7,0.25,0.67
arxiv,2-7,0.30,0.68
arxiv,2-7,0.35,0.72
arxiv,2-7,0.40,0.71
arxiv,2-7,0.45,0.72
arxiv,2-7,0.50,0.74
arxiv,2-7,0.55,0.76
arxiv,2-7,0.60,0.77
arxiv,2-7,0.65,0.75
arxiv,2-7,0.70,0.79
arxiv,2-7,0.75,0.79
arxiv,2-7,0.80,0.80
arxiv,2-7,0.85,0.83
arxiv,2-7,0.90,0.80
arxiv,2-7,0.95,0.82
celegans,1-2,0.00,0.52
celegans,1-2,0.05,0.56
celegans,1-2,0.10,0.60
celegans,1-2,0.15,0.60
celegans,1-2,0.20,0.67
celegans,1-2,0.25,0.66
celegans,1-2,0.30,0.67
celegans,1-2,0.35,0.67
celegans,1-2,0.40,0.69
celegans,1-2,0.45,0.66
celegans,1-2,0.50,0.70
celegans,1-2,0.55,0.75
celegans,1-2,0.60,0.73
celegans,1-2,0.65,0.73
celegans,1-2,0.70,0.76
celegans,1-2,0.75,0.73
celegans,1-2,0.80,0.76
celegans,1-2,0.85,0.73
celegans,1-2,0.90,0.70
celegans,1-2,0.95,0.74
celegans,1-2,0.00,0.45
celegans,1-2,0.05,0.52
celegans,1-2,0.10,0.60
celegans,1-2,0.15,0.60
celegans,1-2,0.20,0.64
celegans,1-2,0.25,0.65
celegans,1-2,0.30,0.70
celegans,1-2,0.35,0.69
celegans,1-2,0.40,0.69
celegans,1-2,0.45,0.70
celegans,1-2,0.50,0.72
celegans,1-2,0.55,0.71
celegans,1-2,0.60,0.70
celegans,1-2,0.65,0.71
celegans,1-2,0.70,0.73
celegans,1-2,0.75,0.75
celegans,1-2,0.80,0.71
celegans,1-2,0.85,0.80
celegans,1-2,0.90,0.77
celegans,1-2,0.95,0.79
celegans,1-2,0.00,0.49
celegans,1-2,0.05,0.57
celegans,1-2,0.10,0.65
celegans,1-2,0.15,0.67
celegans,1-2,0.20,0.67
celegans,1-2,0.25,0.66
celegans,1-2,0.30,0.67
celegans,1-2,0.35,0.69
celegans,1-2,0.40,0.70
celegans,1-2,0.45,0.70
celegans,1-2,0.50,0.70
celegans,1-2,0.55,0.74
celegans,1-2,0.60,0.69
celegans,1-2,0.65,0.70
celegans,1-2,0.70,0.77
celegans,1-2,0.75,0.72
celegans,1-2,0.80,0.74
celegans,1-2,0.85,0.74
celegans,1-2,0.90,0.75
celegans,1-2,0.95,0.75
celegans,1-2,0.00,0.52
celegans,1-2,0.05,0.56
celegans,1-2,0.10,0.54
celegans,1-2,0.15,0.64
celegans,1-2,0.20,0.65
celegans,1-2,0.25,0.68
celegans,1-2,0.30,0.65
celegans,1-2,0.35,0.70
celegans,1-2,0.40,0.72
celegans,1-2,0.45,0.70
celegans,1-2,0.50,0.72
