_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
96,celegans,1,3,0.95,0.5913978494623656,0.5543831168831168,-2.0362292095356076,-6.176375317835881
97,celegans,1,3,0.95,0.524390243902439,0.5069444444444445,-2.0649809479535657,-7.2580870322445294
98,celegans,1,3,0.95,0.5698924731182796,0.530741410488246,-1.947174938544827,-6.963556498501663
99,celegans,1,3,0.95,0.5576923076923077,0.5386904761904762,-1.9451314704366787,-7.082138519194753
100,celegans,2,3,0.05,0.8083067092651757,0.49978590250329386,-1.2050586944652004,-1.6553841743876638
101,celegans,2,3,0.05,0.8044515103338633,0.48077139368231625,-1.6935971729632728,-1.4047273688646025
102,celegans,2,3,0.05,0.8068362480127186,0.5475764763121085,-1.3439366864939915,-1.8424882694306246
103,celegans,2,3,0.05,0.8057097541633624,0.46781295195243455,-1.4026169483957167,-1.6973430119694093
104,celegans,2,3,0.05,0.8071146245059289,0.474510685441788,-1.2505292763526914,-1.5359204765146208
105,celegans,2,3,0.15,0.8017543859649123,0.4713539769277474,-1.342988579843649,-3.133124083664914
106,celegans,2,3,0.15,0.8095238095238095,0.5141352895675824,-1.3164657738862335,-3.592334207676971
107,celegans,2,3,0.15,0.8080631025416302,0.3998593572326291,-1.0986186039807635,-4.611279651843786
108,celegans,2,3,0.15,0.8111702127659575,0.5489120431910673,-1.1716177943990367,-4.378896122491846
109,celegans,2,3,0.15,0.8052863436123348,0.5252878798380151,-1.311836714861063,-4.022495932867261
110,celegans,2,3,0.25,0.8083832335329342,0.4841407994046987,-0.9300245053640157,-5.4617663200832425
111,celegans,2,3,0.25,0.8008008008008008,0.47286851032169386,-1.2234929296697041,-4.725014006745655
112,celegans,2,3,0.25,0.8042024832855779,0.5173395445134575,-1.265583653150471,-4.713482212678066
113,celegans,2,3,0.25,0.8054162487462387,0.4869565217391304,-1.1374332064985404,-5.237424623589979
114,celegans,2,3,0.25,0.8091451292246521,0.47340731607069464,-1.0995057656266538,-5.468622054310041
115,celegans,2,3,0.35,0.7813238770685579,0.4838553173056097,-1.0670231104032601,-6.683057507694847
116,celegans,2,3,0.35,0.7952755905511811,0.5098235256776487,-1.1062518854867827,-6.227795936679915
117,celegans,2,3,0.35,0.7945205479452054,0.48372841874486167,-0.8102577337695133,-6.707221099969101
118,celegans,2,3,0.35,0.7728337236533958,0.47151842326398613,-0.958202383617631,-6.471827850714939
119,celegans,2,3,0.35,0.8013392857142857,0.5184684684684684,-0.7944240122510557,-6.40462481530609
120,celegans,2,3,0.44999999999999996,0.7776223776223776,0.4864472049689441,-1.2169000096783824,-6.024575197917166
121,celegans,2,3,0.44999999999999996,0.763013698630137,0.4604412187410175,-0.8926809202401127,-6.723743399947523
122,celegans,2,3,0.44999999999999996,0.7786458333333334,0.4301016887803002,-0.720486013727325,-6.5967167052336135
123,celegans,2,3,0.44999999999999996,0.7433380084151473,0.4766525092755321,-0.9149951925201443,-7.417926123341417
124,celegans,2,3,0.44999999999999996,0.7661623108665749,0.4639794168096055,-0.8500038938084523,-7.247195423378752
125,celegans,2,3,0.5499999999999999,0.7228346456692913,0.4208541127454075,-0.853362374221068,-7.478114712397858
126,celegans,2,3,0.5499999999999999,0.7250437828371279,0.4240660747140228,-0.9940111881311502,-6.69881201095674
127,celegans,2,3,0.5499999999999999,0.7418300653594772,0.4502487952658264,-1.2509986056674964,-6.130452748669983
128,celegans,2,3,0.5499999999999999,0.7336769759450171,0.4337312767294323,-0.8865335867941053,-7.78705812262659
129,celegans,2,3,0.5499999999999999,0.7423014586709886,0.47607732841948736,-0.9822051015625434,-7.0213735419039365
130,celegans,2,3,0.65,0.7070063694267515,0.47659317426759285,-0.9042570471211318,-7.237888558290965
131,celegans,2,3,0.65,0.7265135699373695,0.4903288201160542,-0.986214869456921,-7.15811523273208
132,celegans,2,3,0.65,0.7263581488933601,0.4172413793103448,-0.9739138371713839,-6.897921969359607
133,celegans,2,3,0.65,0.6551724137931034,0.35596971151282464,-0.9638608030832514,-8.100987005417592
134,celegans,2,3,0.65,0.6978723404255319,0.38161329764383195,-0.8170140558298056,-7.683835247367068
135,celegans,2,3,0.75,0.5574324324324325,0.36101694915254234,-1.2970812794042035,-7.044256529663987
136,celegans,2,3,0.75,0.6109510086455331,0.4324819324819325,-1.204042895314453,-7.345781494220856
137,celegans,2,3,0.75,0.5953757225433526,0.394801545486477,-1.1200543172124737,-7.850688238640615
138,celegans,2,3,0.75,0.621875,0.44817414901775704,-1.5186435827510656,-7.0668359487781585
139,celegans,2,3,0.75,0.6263736263736264,0.41634685672514615,-1.1929268242437026,-7.117926500732572
140,celegans,2,3,0.85,0.5841584158415841,0.4245827984595636,-1.7034386354005588,-6.67365303081794
141,celegans,2,3,0.85,0.465,0.3934199134199134,-1.5309295047963973,-7.882508260003043
142,celegans,2,3,0.85,0.5,0.2911373260738052,-1.4622418027549853,-7.448185223554292
143,celegans,2,3,0.85,0.5046728971962616,0.3979328165374677,-1.4247837512791994,-7.550894468204143
144,celegans,2,3,0.85,0.5691489361702128,0.4639037433155081,-1.7031966581334606,-6.899578244849124
145,celegans,2,3,0.95,0.38571428571428573,0.42375168690958165,-1.9172946077527278,-5.542407103952474
146,celegans,2,3,0.95,0.4745762711864407,0.4666666666666667,-2.078800995837362,-4.974195106086522
147,celegans,2,3,0.95,0.4444444444444444,0.44482758620689655,-1.9784453186907245,-5.436614221227099
148,celegans,2,3,0.95,0.35,0.29313543599257885,-2.000829331951148,-5.360402222269119
149,celegans,2,3,0.95,0.42857142857142855,0.39219934994582883,-1.9361079211287289,-5.757230168736687
150,london,1,2,0.05,0.8091168091168092,0.3772227361496557,1.2916874572094923,-1.1436885775870433
151,london,1,2,0.05,0.800561797752809,0.47521620953792937,2.317860047633372,-0.5116268237180053
152,london,1,2,0.05,0.7982954545454546,0.46148062753746677,2.600378938435447,-0.5526309134619348
153,london,1,2,0.05,0.8033707865168539,0.3464535464535465,1.580958423729592,-0.7280521391828065
154,london,1,2,0.05,0.8107344632768362,0.4382455779514603,1.7186282058944276,-1.2427766981969701
155,london,1,2,0.15,0.7704402515723271,0.39073737984808765,0.7016058793133068,-2.0177947719676053
156,london,1,2,0.15,0.842443729903537,0.4770686558916977,1.6207863977263224,-1.8261149362841824
157,london,1,2,0.15,0.7584097859327217,0.32562975285171103,0.779526371915759,-1.562290965137045
158,london,1,2,0.15,0.846875,0.4699655821806611,1.6140735276987062,-1.5948276133521426
159,london,1,2,0.15,0.842948717948718,0.6348376983867807,1.2544052365904785,-1.5489514838475285
160,london,1,2,0.25,0.8178694158075601,0.4768237082066869,1.3538731777924125,-1.763093687917663
161,london,1,2,0.25,0.8,0.5381818181818182,1.0458193275630723,-1.6989446936920227
162,london,1,2,0.25,0.8267148014440433,0.5359669811320755,1.4687789289955386,-1.8453158299139392
163,london,1,2,0.25,0.8172043010752689,0.42099567099567103,1.3491147059501805,-1.7784354636703517
164,london,1,2,0.25,0.8159722222222222,0.507632718159034,1.4326481009449932,-1.7775239363204642
165,london,1,2,0.35,0.8091603053435115,0.5615384615384615,1.3490181241674895,-1.7871724283624904
166,london,1,2,0.35,0.8237704918032787,0.6692708333333333,1.5003025859600962,-1.5884367666522665
167,london,1,2,0.35,0.86,0.6358807588075881,1.2716688417648505,-1.6728887197229336
168,london,1,2,0.35,0.8666666666666667,0.6709995517705065,1.9982219386499738,-1.5806694163979083
169,london,1,2,0.35,0.8512396694214877,0.6276831976313841,1.3424622854828576,-1.3054332978890086
170,london,1,2,0.44999999999999996,0.8315789473684211,0.7363443350704497,1.0324120463925264,-1.5016595464908657
171,london,1,2,0.44999999999999996,0.7952380952380952,0.6904435925520263,1.3086522922797115,-1.6304094526375936
172,london,1,2,0.44999999999999996,0.7835051546391752,0.7771103896103897,0.9180459845992109,-1.6209932507350289
173,london,1,2,0.44999999999999996,0.7873303167420814,0.7107046070460705,0.8878629433120739,-1.6895479907231508
174,london,1,2,0.44999999999999996,0.8774509803921569,0.7692307692307693,1.167179302307683,-1.323295106260765
175,london,1,2,0.5499999999999999,0.8404907975460123,0.8049853372434017,1.3089351471792026,-1.6242307589442444
176,london,1,2,0.5499999999999999,0.7857142857142857,0.807487922705314,-1.0940901187168046,-1.9967284267924414
177,london,1,2,0.5499999999999999,0.8540540540540541,0.8521241830065359,1.0112076652084834,-1.6028823660357103
178,london,1,2,0.5499999999999999,0.6954022988505747,0.831291639802278,0.4266257053516436,-1.398574563577507
179,london,1,2,0.5499999999999999,0.7046979865771812,0.827621483375959,0.10192284603314304,-1.675327345853946
180,london,1,2,0.65,0.7938931297709924,0.9082125603864735,-0.8204327087779654,-1.9032377681983441
181,london,1,2,0.65,0.7815126050420168,0.8795355587808418,0.4856409679751109,-1.4977316772396085
182,london,1,2,0.65,0.9541984732824428,0.9628127112914131,-2.019692997574525,-2.300137249983422
183,london,1,2,0.65,0.8780487804878049,0.8656084656084657,-1.2633021492423888,-1.837892301367369
184,london,1,2,0.65,0.7638888888888888,0.893089960886571,-0.059963954423037674,-1.757984411218617
185,london,1,2,0.75,0.9310344827586207,0.9666666666666667,-1.6169729070850858,-2.2212036121951204
186,london,1,2,0.75,0.9339622641509434,0.9423076923076923,-1.9438572714177829,-2.315305598955704
187,london,1,2,0.75,0.8488372093023255,0.95,-1.2978215011818393,-2.106982033283414
