,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time
22,1000,5.0,5.0,0.2,[0.],[[9.84997468]],0.4881115058759224,0.4886119388804469,0.48525057875841343,0.02563162101432681,0.025632619857788086
23,1000,5.0,5.0,0.30000000000000004,[0.],[[9.14682278]],0.49751707014276847,0.4897653815993048,0.4821415223521168,0.02966932486742735,0.02967095375061035
24,1000,5.0,5.0,0.4,[0.],[[6.74303641]],0.49405646359583955,0.49358043732183976,0.4864392692086579,0.02822896302677691,0.02823019027709961
25,1000,5.0,5.0,0.5,[0.],[[5.99228008]],0.49263431542461006,0.4708305454742064,0.4688467727256724,0.02409344003535807,0.024094104766845703
26,1000,5.0,5.0,0.6000000000000001,[0.],[[4.48209327]],0.48867497168742924,0.4877903613314195,0.49687942919445643,0.022979856003075838,0.022980690002441406
27,1000,5.0,5.0,0.7000000000000001,[0.],[[3.8085879]],0.472953216374269,0.4629124167471765,0.46390867480684017,0.022958221845328808,0.022959232330322266
28,1000,5.0,5.0,0.8,[0.],[[3.2327656]],0.4827586206896552,0.4732241147863085,0.4773580608379653,0.09238065988756716,0.09238147735595703
29,1000,5.0,5.0,0.9,[0.],[[2.73779388]],0.5010893246187363,0.5107180830865041,0.5273126498616642,0.02187162102200091,0.021872282028198242
30,1000,5.0,5.0,,,,,,,,
31,1000,5.0,5.0,0.1,[0.],[[9.40325557]],0.4962816063460585,0.4807561398751583,0.48768271352844794,0.025468316162005067,0.025469064712524414
32,1000,5.0,5.0,0.2,[0.],[[10.26580692]],0.497069494836729,0.49192890016171803,0.48991688949180556,0.024776150938123465,0.024776935577392578
33,1000,5.0,5.0,0.30000000000000004,[0.],[[8.42329131]],0.48947704081632654,0.4772611787067448,0.48158616009437655,0.025598299922421575,0.025599241256713867
34,1000,5.0,5.0,0.4,[0.],[[6.71335673]],0.47767857142857145,0.45714230347592105,0.466364000206133,0.02532426081597805,0.02532505989074707
35,1000,5.0,5.0,0.5,[0.],[[5.72976337]],0.4681899641577061,0.44710372283798605,0.4719406963075574,0.023843455128371716,0.023844003677368164
