,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,process_time,wall_time
44,celegans,1,2,"{'deg', 'imb'}",0.44999999999999996,[0.29676726],[[5.38493845]],0.6367851622874807,0.6419766825649179,0.48443935616066636,0.40947504399991885,0.40947604179382324
45,celegans,1,2,"{'deg', 'imb'}",0.5499999999999999,[0.37797716],[[5.06645632]],0.6482213438735178,0.6460116245899301,0.47779469917683903,0.010571087999778683,0.010571956634521484
46,celegans,1,2,"{'deg', 'imb'}",0.65,[0.52371709],[[4.65137358]],0.6752941176470588,0.6911611008809037,0.5228782309499549,0.010453246999531984,0.01045370101928711
47,celegans,1,2,"{'deg', 'imb'}",0.75,[0.54205806],[[3.84028921]],0.6855123674911661,0.6996448087431695,0.5641265931512317,0.010275444999933825,0.01027679443359375
48,celegans,1,2,"{'deg', 'imb'}",0.85,[0.7319316],[[3.81939363]],0.6288659793814433,0.6415652173913043,0.4836855918400614,0.010354842999731773,0.010355472564697266
49,celegans,1,2,"{'deg', 'imb'}",0.95,[0.77772366],[[3.32262492]],0.7115384615384616,0.7039930555555556,0.4692925467178841,0.009598509000170452,0.009598970413208008
50,celegans,1,2,"{'emb', 'deg'}",0.05,[-0.46029193],[[1.43851555 2.96448176]],0.6547085201793722,0.5731868666280475,0.39304238834262284,12.551821205999659,12.551822900772095
51,celegans,1,2,"{'emb', 'deg'}",0.15,[-0.21561127],[[2.51668933 5.36043958]],0.6441532258064516,0.6252796824251173,0.4283131774355979,11.962540632999662,11.962541818618774
52,celegans,1,2,"{'emb', 'deg'}",0.25,[-0.15839053],[[3.27466538 6.11733617]],0.6531986531986532,0.626394278744872,0.454750379709108,12.893872566999562,12.893874168395996
53,celegans,1,2,"{'emb', 'deg'}",0.35,[0.24108861],[[5.20804888 5.56135679]],0.664886515353805,0.6613732240702128,0.4790792110712996,12.944919756000672,12.944921255111694
54,celegans,1,2,"{'emb', 'deg'}",0.44999999999999996,[0.42193946],[[6.10529403 5.06492372]],0.6334355828220859,0.6352876466753586,0.4595122154627863,12.653123852000135,12.653125047683716
