,theta,edge,correct,layer,distance,ground_truth_aprx,likelihood_metric,score
271,0.04,"(80, 81)",True,d_G,8.362,1,inverse,0.5046003
272,0.04,"(81, 82)",True,d_G,8.275074,1,inverse,0.5210105
273,0.04,"(83, 82)",True,d_G,8.303378,1,inverse,0.52088445
274,0.04,"(83, 84)",True,d_G,7.890807,1,inverse,0.5017569
275,0.04,"(85, 84)",False,d_G,8.0982895,1,inverse,0.4926998
276,0.04,"(85, 86)",False,d_G,8.109277,1,inverse,0.49023315
277,0.04,"(86, 87)",False,d_G,8.965896,1,inverse,0.48675025
278,0.04,"(88, 87)",True,d_G,7.1787343,1,inverse,0.5272065
279,0.04,"(88, 89)",True,d_G,6.8673077,1,inverse,0.51539314
280,0.04,"(91, 90)",True,d_G,8.229834,1,inverse,0.5139897
281,0.04,"(92, 91)",True,d_G,8.129135,1,inverse,0.5111887
282,0.04,"(92, 93)",True,d_G,7.93114,1,inverse,0.52895534
283,0.04,"(93, 94)",True,d_G,8.43618,1,inverse,0.5091653
284,0.04,"(95, 94)",True,d_G,8.407581,1,inverse,0.51859504
285,0.04,"(96, 95)",True,d_G,7.3943,1,inverse,0.53970814
286,0.04,"(97, 96)",True,d_G,8.122264,1,inverse,0.506848
287,0.04,"(98, 97)",True,d_G,8.108873,1,inverse,0.51438856
288,0.04,"(98, 99)",True,d_G,8.2228565,1,inverse,0.5037715
289,0.04,"(48, 65)",True,d_G,8.149721,0,inverse,0.4936785
290,0.04,"(48, 43)",False,d_G,8.639672,0,inverse,0.502222
291,0.04,"(65, 92)",True,d_G,7.9705915,0,inverse,0.4902444
292,0.04,"(92, 82)",False,d_G,7.7531557,0,inverse,0.53028506
293,0.04,"(42, 82)",False,d_G,8.752714,0,inverse,0.51432145
294,0.04,"(28, 42)",True,d_G,8.706334,0,inverse,0.49268624
295,0.04,"(28, 77)",True,d_G,9.115309,0,inverse,0.49622363
296,0.04,"(77, 6)",False,d_G,8.711954,0,inverse,0.5131805
297,0.04,"(72, 6)",False,d_G,8.639354,0,inverse,0.506614
298,0.04,"(95, 72)",False,d_G,8.027342,0,inverse,0.52222914
299,0.04,"(55, 52)",False,d_G,7.522975,0,inverse,0.52381986
300,0.04,"(55, 85)",False,d_G,7.9083586,0,inverse,0.50823814
301,0.04,"(90, 85)",True,d_G,8.711555,0,inverse,0.46960574
302,0.04,"(66, 90)",True,d_G,8.514271,0,inverse,0.47696018
303,0.04,"(66, 29)",True,d_G,8.868317,0,inverse,0.48761734
304,0.04,"(29, 75)",True,d_G,9.208678,0,inverse,0.48308527
305,0.04,"(75, 41)",True,d_G,9.103242,0,inverse,0.481333
306,0.04,"(47, 41)",True,d_G,8.773238,0,inverse,0.48274702
307,0.04,"(51, 47)",False,d_G,7.609489,0,inverse,0.5252695
308,0.04,"(40, 70)",False,d_G,6.756799,0,inverse,0.520552
309,0.04,"(60, 40)",False,d_G,7.640745,0,inverse,0.51222944
310,0.04,"(60, 38)",False,d_G,6.977033,0,inverse,0.5622475
311,0.04,"(31, 38)",True,d_G,8.311055,0,inverse,0.49295008
312,0.04,"(31, 12)",True,d_G,8.610307,0,inverse,0.4933858
313,0.04,"(88, 12)",True,d_G,7.5014186,0,inverse,0.49260777
314,0.04,"(35, 13)",False,d_G,5.8418493,0,inverse,0.5098372
315,0.04,"(13, 34)",True,d_G,5.559522,0,inverse,0.4900278
316,0.04,"(34, 33)",True,d_G,6.8090253,1,inverse,0.5099578
317,0.04,"(33, 53)",True,d_G,7.5065536,0,inverse,0.4881891
318,0.04,"(53, 39)",True,d_G,8.087108,0,inverse,0.48921847
319,0.04,"(39, 69)",False,d_G,6.721071,0,inverse,0.50542337
320,0.04,"(68, 76)",False,d_G,8.334292,0,inverse,0.5058968
321,0.04,"(45, 76)",False,d_G,8.352876,0,inverse,0.51247483
322,0.04,"(45, 10)",False,d_G,8.107651,0,inverse,0.5044823
323,0.04,"(10, 99)",False,d_G,6.4622617,0,inverse,0.52356094
324,0.04,"(99, 9)",False,d_G,6.4092584,0,inverse,0.54330987
325,0.04,"(16, 9)",False,d_G,8.023792,0,inverse,0.50370145
326,0.04,"(96, 16)",False,d_G,8.0077305,0,inverse,0.5222085
327,0.04,"(80, 96)",True,d_G,8.690943,0,inverse,0.486135
328,0.04,"(21, 80)",True,d_G,8.895941,0,inverse,0.49813613
329,0.04,"(21, 11)",False,d_G,8.697891,0,inverse,0.512227
330,0.04,"(11, 8)",False,d_G,8.27359,0,inverse,0.50966996
331,0.04,"(73, 8)",False,d_G,8.386462,0,inverse,0.5002488
332,0.04,"(58, 73)",True,d_G,8.870001,0,inverse,0.4968175
333,0.04,"(58, 37)",True,d_G,9.037093,0,inverse,0.48075646
334,0.04,"(61, 37)",False,d_G,7.3781915,0,inverse,0.5399972
335,0.04,"(0, 61)",False,d_G,7.945874,0,inverse,0.5130896
336,0.04,"(89, 23)",False,d_G,7.2793713,0,inverse,0.5244827
337,0.04,"(94, 27)",False,d_G,8.044302,0,inverse,0.5237763
338,0.04,"(19, 94)",True,d_G,8.761112,0,inverse,0.4953521
339,0.04,"(57, 19)",True,d_G,6.9546885,0,inverse,0.48984745
340,0.04,"(57, 20)",False,d_G,6.1848245,0,inverse,0.51175535
341,0.04,"(20, 59)",False,d_G,7.9186606,0,inverse,0.52161586
342,0.04,"(59, 91)",False,d_G,8.330815,0,inverse,0.5110037
343,0.04,"(91, 63)",True,d_G,9.163664,0,inverse,0.48170304
344,0.04,"(3, 63)",False,d_G,8.452777,0,inverse,0.50931424
345,0.04,"(54, 3)",False,d_G,8.609203,0,inverse,0.50114644
346,0.04,"(67, 54)",True,d_G,8.563483,0,inverse,0.48800418
347,0.04,"(93, 67)",False,d_G,8.418551,0,inverse,0.5105434
348,0.04,"(64, 93)",False,d_G,7.7076783,0,inverse,0.519448
349,0.04,"(50, 64)",False,d_G,8.064522,0,inverse,0.5308389
350,0.04,"(84, 50)",True,d_G,8.446945,0,inverse,0.49576175
351,0.04,"(46, 84)",True,d_G,9.116793,0,inverse,0.47122085
352,0.04,"(46, 97)",False,d_G,8.618291,0,inverse,0.5106668
353,0.04,"(74, 97)",False,d_G,8.716625,0,inverse,0.5100233
354,0.04,"(24, 74)",False,d_G,8.488309,0,inverse,0.53519887
355,0.04,"(62, 24)",True,d_G,8.839544,0,inverse,0.49686506
356,0.04,"(62, 32)",True,d_G,8.848355,0,inverse,0.4860779
357,0.04,"(32, 18)",True,d_G,9.186361,0,inverse,0.46589115
358,0.04,"(18, 78)",True,d_G,7.40391,0,inverse,0.48306537
359,0.04,"(78, 17)",False,d_G,6.9748683,0,inverse,0.51255816
360,0.04,"(86, 17)",True,d_G,8.727473,0,inverse,0.49211854
361,0.04,"(86, 83)",True,d_G,8.584608,0,inverse,0.4966589
362,0.04,"(25, 83)",False,d_G,8.193629,0,inverse,0.51220626
363,0.04,"(44, 25)",False,d_G,8.569929,0,inverse,0.5175246
364,0.04,"(7, 44)",False,d_G,7.920488,0,inverse,0.5238175
365,0.04,"(7, 4)",True,d_G,8.543166,0,inverse,0.48452768
366,0.04,"(4, 56)",True,d_G,8.690109,0,inverse,0.47478515
367,0.04,"(71, 56)",True,d_G,8.870384,0,inverse,0.48667175
368,0.04,"(2, 71)",False,d_G,8.806138,0,inverse,0.5130942
369,0.04,"(2, 30)",False,d_G,8.7436905,0,inverse,0.52465564
370,0.04,"(98, 30)",True,d_G,8.430715,0,inverse,0.49847755
371,0.04,"(98, 15)",False,d_G,8.543958,0,inverse,0.5032657
