_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
130,arxiv,6,7,0.65,0.7705022250476796,0.6629827114779099,1.3205928528809476,-0.5891740757713532
131,arxiv,6,7,0.65,0.7585335018963337,0.645877437552769,1.2880175344017428,-0.47936750811611056
132,arxiv,6,7,0.65,0.7755555555555556,0.6513273230942175,1.3246851243015563,-0.6312729805147778
133,arxiv,6,7,0.65,0.7652690656982503,0.6523010139325236,1.2958399544565,-0.4798006681797292
134,arxiv,6,7,0.65,0.7742244963223537,0.6551913635189067,1.2473361882390719,-0.4943932930538901
135,arxiv,6,7,0.75,0.7525589675122385,0.6128062659275301,1.2904326927650995,-0.29767377779643883
136,arxiv,6,7,0.75,0.7583955223880597,0.6218495775691347,1.2477742592015002,-0.2257460322102748
137,arxiv,6,7,0.75,0.7771929824561403,0.6133489450951813,1.2196891092250373,-0.2530601888195165
138,arxiv,6,7,0.75,0.7674418604651163,0.6186896969696969,1.247735945839603,-0.2580185627268911
139,arxiv,6,7,0.75,0.7569539443684451,0.6266845995614729,1.2616258634650475,-0.22669607449359824
140,arxiv,6,7,0.85,0.7726269315673289,0.5706457081214362,1.1867958271083061,-0.008780490122483277
141,arxiv,6,7,0.85,0.7727272727272727,0.5198562091503268,1.188325432901795,-0.014653688336680994
142,arxiv,6,7,0.85,0.7756024096385542,0.4420603375252493,1.1709675932682146,0.040322536956522784
143,arxiv,6,7,0.85,0.7691711851278079,0.4474002581831208,1.1758741154944725,0.03895004074951762
144,arxiv,6,7,0.85,0.7596223674655047,0.5844159595177717,1.210594589836544,-0.038384423756717384
145,arxiv,6,7,0.95,0.7432150313152401,0.4967060427078601,0.9938690055016149,0.34905282705121266
146,arxiv,6,7,0.95,0.7582159624413145,0.5483585858585859,0.9546567957803941,0.43056248275488423
147,arxiv,6,7,0.95,0.7272727272727273,0.5253025302530253,0.9535038117314982,0.43031350636610216
148,arxiv,6,7,0.95,0.76431718061674,0.5587853107344632,0.9956524643832448,0.40526725879880426
149,arxiv,6,7,0.95,0.7494505494505495,0.5250068027210885,0.9774406970175276,0.3734110352172461
150,drosophila,1,2,0.05,0.9264278403275332,0.36140280851614576,1.8269800182061644,-7.929093133050785
151,drosophila,1,2,0.05,0.9244928010471204,0.352483756766529,1.7910748506291325,-9.129882885407879
152,drosophila,1,2,0.05,0.9248398225726959,0.3203905116264996,1.881749069658742,-8.35565452902118
153,drosophila,1,2,0.05,0.9222494887525562,0.34065762216106343,1.6541589786739133,-10.501434016987352
154,drosophila,1,2,0.05,0.9238337296056407,0.3659351548918806,1.896666788088637,-8.360801531447777
155,drosophila,1,2,0.15,0.9158672602928352,0.2392166680596787,2.0851785013884387,-6.593444450525274
156,drosophila,1,2,0.15,0.9043478260869565,0.2084786049594033,1.9145904625426229,-8.704909389038557
